source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,partylist,,1.0,,single_party_dominance: ใหม่; single_party_dominance: รวมใจไทย; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ไทรวมพลัง; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยก้าวหน้า; single_party_dominance: ไทยภักดี; single_party_dominance: ประชาชาติ; single_party_dominance: รักชาติ; single_party_dominance: ภูมิใจไทย; single_party_dominance: ประชาชน; single_party_dominance: ไทยสร้างไทย
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,partylist,,733.0,,score_outlier: ความหวังใหม่
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,partylist,,436.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,partylist,,1.0,,single_party_dominance: เพื่อชาติไทย; single_party_dominance: รวมใจไทย; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ก้าวอิสระ; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยภักดี; single_party_dominance: สร้างอนาคตไทย; single_party_dominance: ภูมิใจไทย; single_party_dominance: พลังธรรมใหม่; single_party_dominance: กรีน; single_party_dominance: กล้าธรรม; single_party_dominance: โอกาสใหม่; single_party_dominance: ประชาชน; single_party_dominance: ประชาไทย; single_party_dominance: ไทยสร้างไทย; score_outlier: เพื่อชาติไทย
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,partylist,,741.0,,score_outlier: พลังประชารัฐ
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,partylist,667.0,389.0,,score_outlier: รวมใจไทย
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,partylist,396.0,378.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,partylist,537.0,524.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,3,partylist,474.0,453.0,,score_outlier: ไทยพร้อม; score_outlier: พร้อม
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,4,partylist,451.0,431.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,partylist,,,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,6,partylist,552.0,525.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,7,partylist,637.0,519.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,partylist,375.0,360.0,,score_outlier: มิติใหม่
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,partylist,446.0,416.0,,single_party_dominance: เพื่อไทย; score_outlier: เพื่อไทย; score_outlier: ความหวังใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,0,partylist,2.0,345.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,1,partylist,2.0,466.0,,single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ท้องที่ไทย; single_party_dominance: อนาคตไทย; single_party_dominance: พลังเพื่อไทย; single_party_dominance: ไทยชนะ; single_party_dominance: พลังสังคมใหม่; single_party_dominance: ไทรวมพลัง; single_party_dominance: ก้าวอิสระ; single_party_dominance: ปวงชนไทย; single_party_dominance: วิชชั่นใหม่; single_party_dominance: เพื่อชีวิตใหม่; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยก้าวหน้า; single_party_dominance: ไทยภักดี; single_party_dominance: แรงงานสร้างชาติ; single_party_dominance: ประชากรไทย; single_party_dominance: ครูไทยเพื่อประชาชน; single_party_dominance: ประชาชาติ; single_party_dominance: สร้างอนาคตไทย; single_party_dominance: ประชาชน; score_outlier: เสรีรวมไทย; score_outlier: รวมพลังประชาชน; score_outlier: ท้องที่ไทย; score_outlier: อนาคตไทย; score_outlier: พลังเพื่อไทย; score_outlier: ไทยชนะ; score_outlier: พลังสังคมใหม่; score_outlier: ไทรวมพลัง; score_outlier: ก้าวอิสระ; score_outlier: ปวงชนไทย; score_outlier: เพื่อชีวิตใหม่; score_outlier: คลองไทย; score_outlier: ประชาธิปัตย์; score_outlier: ไทยก้าวหน้า; score_outlier: ไทยภักดี; score_outlier: แรงงานสร้างชาติ; score_outlier: ประชากรไทย; score_outlier: ครูไทยเพื่อประชาชน; score_outlier: ประชาชาติ; score_outlier: สร้างอนาคตไทย; score_outlier: ประชาชน; score_outlier: เพื่อบ้านเมือง; score_outlier: พลังไทยรักชาติ
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,2,partylist,2.0,187.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,partylist,860.0,798.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,partylist,,,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,5,partylist,499.0,471.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,partylist,361.0,348.0,,single_party_dominance: ประชาธิปัตย์
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,partylist,,,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,partylist,27.0,28.0,,single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย; score_outlier: กรีน
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,partylist,253.0,247.0,,score_outlier: โอกาสใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,partylist,,,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,0,partylist,340.0,329.0,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,1,partylist,603.0,582.0,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,partylist,375.0,4.0,,single_party_dominance: ไทยทรัพย์ทวี; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: พลวัต; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,partylist,144.0,143.0,,single_party_dominance: ประชาธิปัตย์; score_outlier: แผ่นดินธรรม
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,partylist,,,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,5,partylist,,,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,6,partylist,614.0,602.0,,score_outlier: มิติใหม่; score_outlier: เศรษฐกิจ
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,partylist,2.0,0.0,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,partylist,339.0,320.0,,score_outlier: ไทยพร้อม; score_outlier: พร้อม
