source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,อธิคม ขุนแก้ว,ภพเอกอัคร อินทรโม,สมเสริม ชูรักษ์,นิติศักดิ์ ธรรมเพชร
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,FAIL,MISMATCH,,105.0,412.0,10.0,13.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,194.0,22.0,5.0,3.0,65.0,2.0,117.0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,PASS,MISMATCH,,290.0,278.0,4.0,8.0,,ballot_total differs between forms,122.0,16.0,5.0,1.0,21.0,0.0,113.0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,FAIL,OK,,253.0,272.0,2.0,3.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,200.0,94.0,0.0,0.0,29.0,0.0,86.0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,FAIL,MISMATCH,,357.0,341.0,6.0,10.0,,sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,98.0,21.0,4.0,1.0,40.0,1.0,79.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,0,PASS,OK,,340.0,335.0,2.0,3.0,,,143.0,21.0,3.0,1.0,31.0,0.0,136.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,1,PASS,OK,,603.0,583.0,16.0,4.0,,,344.0,42.0,3.0,0.0,47.0,0.0,147.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,FAIL,MISMATCH,,395.0,326.0,2.0,7.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,136.0,16.0,0.0,0.0,27.0,2.0,145.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,FAIL,MISMATCH,,,,,,,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,,,,,,,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,PASS,MISMATCH,,549.0,531.0,10.0,8.0,,ballot_total differs between forms,235.0,33.0,3.0,4.0,56.0,1.0,199.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,5,PASS,MISMATCH,,376.0,369.0,4.0,3.0,,ballot_total differs between forms,147.0,35.0,2.0,0.0,56.0,1.0,128.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,6,PASS,OK,score_outlier: นิติศักดิ์ ธรรมเพชร,614.0,602.0,4.0,8.0,,,230.0,31.0,2.0,1.0,98.0,2.0,238.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,PASS,MISMATCH,,343.0,335.0,5.0,3.0,,ballot_total differs between forms,190.0,10.0,3.0,1.0,9.0,1.0,121.0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,FAIL,OK,score_outlier: สมเสริม ชูรักษ์,339.0,324.0,6.0,9.0,,sum(scores.values()) does not equal ballot_valid,155.0,21.0,5.0,1.0,33.0,109.0,109.0
