form_type,vote_phase,district,subdistrict,unit_index,ballot_total,ballot_valid,latlong_merge_status
partylist,election_day,ศรีนครินทร์,บ้านนา,3,439,413,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,4,314,288,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,5,433,414,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,6,406,391,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,7,591,574,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,8,329,309,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,9,341,327,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,10,427,409,unmatched
partylist,election_day,ศรีนครินทร์,บ้านนา,11,387,361,unmatched
partylist,election_day,ป่าพะยอม,ลานข่อย,10,342,336,unmatched
partylist,election_day,ป่าพะยอม,ลานข่อย,11,595,572,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,0,561,533,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,1,399,380,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,2,536,508,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,3,221,209,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,4,417,401,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,5,591,567,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,6,604,567,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,7,563,535,unmatched
partylist,election_day,ศรีนครินทร์,ลำสินธ์ุ,8,233,214,unmatched
partylist,election_day,ป่าพะยอม,เกาะเต่า,15,371,360,unmatched
partylist,election_day,ป่าพะยอม,เกาะเต่า,16,380,356,unmatched
partylist,out_of_district_advance,,,0,765,729,unmatched
partylist,out_of_district_advance,,,1,762,731,unmatched
partylist,out_of_district_advance,,,2,765,745,unmatched
partylist,out_of_district_advance,,,3,520,498,unmatched
partylist,out_of_district_advance,,,4,765,731,unmatched
partylist,out_of_district_advance,,,5,763,727,unmatched
partylist,out_of_district_advance,,,6,765,733,unmatched
partylist,out_of_district_advance,,,7,765,736,unmatched
partylist,out_of_district_advance,,,8,765,739,unmatched
partylist,out_of_district_advance,,,9,770,741,unmatched
partylist,in_district_advance,,,0,9,9,unmatched
