district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status
ควนขนุน,ควนขนุน,6,partylist,election_day,374,361,8,5,0,0,0,0,1,1,2,0,0,62,2,157,5,0,1,1,0,2,1,0,0,0,0,0,89,0,1,0,4,0,0,0,0,0,0,0,3,0,0,17,4,1,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,4.0,387.0,ควนขนุน,ควนขนุน,7.0,7,ศาลาประจ าหมู่บ้านบ้านโพธิ์,489.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านโพธิ์,7.764699,100.0024084,2.0,14.0,location_exact_normalized,1.0,1.0,ควนขนุน|6,matched
ควนขนุน,ควนขนุน,7,partylist,election_day,208,204,4,0,0,0,0,0,0,0,2,0,0,20,0,101,0,0,0,0,1,1,0,0,0,0,0,0,48,0,0,2,6,0,0,0,0,0,0,0,3,0,1,11,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4.0,388.0,ควนขนุน,ควนขนุน,8.0,8,ศาลาประจ าหมู่บ้านบ้านข่อยม้า,256.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านข่อยม้า,7.764699,100.0024084,2.0,15.0,location_exact_normalized,1.0,1.0,ควนขนุน|7,matched
ควนขนุน,ควนขนุน,8,partylist,election_day,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,389.0,ควนขนุน,ควนขนุน,9.0,9,ศาลาประจ าหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,104.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,7.735698699999999,100.0077949,2.0,16.0,location_exact_normalized,1.0,1.0,ควนขนุน|8,matched
ควนขนุน,ชะมวง,0,partylist,election_day,573,564,7,2,0,0,0,0,0,0,0,0,0,80,0,316,2,0,3,0,0,6,0,1,1,0,1,0,101,1,0,2,10,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,2,0,1,0,6,0,0,0,4,0,0,0,2.0,310.0,ควนขนุน,ชะมวง,1.0,1,ศาลาประจ าหมู่บ้านบ้านชะมวง,715.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านชะมวง,7.3838149,100.2598974,2.0,114.0,location_exact_normalized,1.0,1.0,ชะมวง|0,matched
ควนขนุน,ชะมวง,1,partylist,election_day,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2.0,311.0,ควนขนุน,ชะมวง,2.0,2|4,ศาลาการเปรียญวัดพิกุลทอง,257.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาการเปรียญวัดพิกุลทอง,7.7408104,99.9839132,2.0,115.0,location_exact_normalized,1.0,1.0,ชะมวง|1,matched
ควนขนุน,ชะมวง,2,partylist,election_day,545,523,13,9,0,1,0,0,0,0,1,0,1,51,1,305,0,0,0,0,0,7,0,0,0,1,0,0,96,0,1,1,2,1,0,1,0,0,0,0,2,1,0,26,5,5,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0,2.0,312.0,ควนขนุน,ชะมวง,3.0,3,ศาลาประจ าหมู่บ้านบ้านศาลาต าเสา,646.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,7.7885424,99.9643809,2.0,116.0,location_exact_normalized,1.0,1.0,ชะมวง|2,matched
ควนขนุน,ชะมวง,3,partylist,election_day,185,180,2,3,1,0,0,0,0,0,2,0,0,27,2,80,3,0,0,1,0,2,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2.0,313.0,ควนขนุน,ชะมวง,4.0,5,ศาลาประจ าหมู่บ้านบ้านหนักขัน,226.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหนักขัน,7.7419453,99.9723573,2.0,117.0,location_exact_normalized,1.0,1.0,ชะมวง|3,matched
ควนขนุน,ชะมวง,4,partylist,election_day,511,490,16,5,0,2,0,0,1,0,0,0,0,45,0,278,4,0,1,1,0,4,0,0,0,0,0,0,91,0,0,4,2,1,0,0,1,0,0,0,3,0,2,38,2,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,2.0,314.0,ควนขนุน,ชะมวง,5.0,6,ศาลาประจ าหมู่บ้านบ้านไสเตียน,605.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสเตียน,7.753196000000001,99.9551971,2.0,118.0,location_exact_normalized,1.0,1.0,ชะมวง|4,matched
ควนขนุน,ชะมวง,5,partylist,election_day,326,317,4,5,0,0,0,0,1,0,1,0,0,33,2,162,1,0,0,0,0,6,1,0,0,1,0,0,77,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,5,1,0,1,0,0,0,0,1,6,0,2,0,3,0,1,0,2.0,315.0,ควนขนุน,ชะมวง,6.0,7,ศาลาประจ าหมู่บ้านบ้านค่ายไพออก,387.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,7.3838149,100.2598974,2.0,119.0,location_exact_normalized,1.0,1.0,ชะมวง|5,matched
ควนขนุน,ชะมวง,6,partylist,election_day,394,376,13,5,0,0,0,0,1,0,1,0,0,36,0,201,3,0,0,0,0,1,1,0,0,0,0,0,100,0,2,2,3,0,0,0,1,0,0,0,5,0,0,10,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2.0,316.0,ควนขนุน,ชะมวง,7.0,8,ศาลาประจ าหมู่บ้านบ้านค่ายไพตก,448.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,7.3838149,100.2598974,2.0,120.0,location_exact_normalized,1.0,1.0,ชะมวง|6,matched
