district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status,latlong_result_match_method
ควนขนุน,ชะมวง,8,constituency,election_day,328,315,6,7,49,1,36,197,28,0,4,2,318,ควนขนุน,ชะมวง,9,10,ศาลาประจ าหมู่บ้านบ้านหัวถนน,420,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหัวถนน,7.736974900000001,99.9842367,2,122,location_exact_normalized,1.0,1,ชะมวง|8,matched,exact_key
ควนขนุน,ชะมวง,9,constituency,election_day,196,191,1,4,44,0,18,116,10,1,2,2,319,ควนขนุน,ชะมวง,10,11,ศาลาประจ าหมู่บ้านบ้านปาบ,257,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านปาบ,7.737530199999998,99.9891287,2,123,location_exact_normalized,1.0,1,ชะมวง|9,matched,exact_key
ควนขนุน,ชะมวง,10,constituency,election_day,486,476,9,1,161,1,24,266,21,1,2,2,320,ควนขนุน,ชะมวง,11,12,ศาลาประจ าหมู่บ้านบ้านสามหนอง,539,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านสามหนอง,7.771804299999999,99.9381744,2,124,location_exact_normalized,1.0,1,ชะมวง|10,matched,exact_key
ควนขนุน,ชะมวง,11,constituency,election_day,296,285,5,6,83,1,13,174,14,0,0,2,321,ควนขนุน,ชะมวง,12,13,ศาลาประจ าหมู่บ้านบ้านศาลาม่วง,336,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,7.7427958,99.9646715,2,125,location_exact_normalized,1.0,1,ชะมวง|11,matched,exact_key
ควนขนุน,ชะมวง,12,constituency,election_day,462,448,9,5,93,1,44,285,23,0,2,2,322,ควนขนุน,ชะมวง,13,14,ศาลาประจ าหมู่บ้านบ้านไสตอ,552,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสตอ,7.7851689,99.9546944,2,126,location_exact_normalized,1.0,1,ชะมวง|12,matched,exact_key
ควนขนุน,ชะมวง,13,constituency,election_day,588,572,9,7,166,2,73,291,37,1,2,3,323,ควนขนุน,ชะมวง,14,15,ศาลาประจ าหมู่บ้านบ้านหยีใน,668,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหยีใน,7.769434400000001,99.9700718,2,127,location_exact_normalized,1.0,1,ชะมวง|13,matched,exact_key
ควนขนุน,ชะมวง,14,constituency,election_day,366,349,10,7,84,0,33,218,12,2,0,3,324,ควนขนุน,ชะมวง,15,16,ศาลาประจ าหมู่บ้านบ้านไสตอตก,425,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสตอตก,7.7851689,99.9546944,2,128,location_exact_normalized,1.0,1,ชะมวง|14,matched,exact_key
กงหรา2,ชะรัด,0,constituency,election_day,593,565,14,14,209,1,42,278,31,2,2,8,516,กงหรา,ชะรัด(เทศบาล),1,1,ศาลาประจ าหมู่บ้านบ้านต้นประดู่,702,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาประจำหมู่บ้านบ้านต้นประดู่,7.4710752,99.9927726,2,218,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|0,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,1,constituency,election_day,419,393,17,9,118,4,27,215,27,2,0,8,517,กงหรา,ชะรัด(เทศบาล),2,2,ศาลาประจ าหมู่บ้านบ้านวังปริง,515,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาประจำหมู่บ้านบ้านวังปริง,7.477495999999999,100.0135447,2,219,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|1,matched,fallback_unique_subdistrict_key
กงหรา2,ชะรัด,2,constituency,election_day,655,619,26,10,232,3,70,273,39,2,0,8,518,กงหรา,ชะรัด(เทศบาล),3,3,ศาลาประจ าหมู่บ้านบ้านหัวหรั่ง,752,พัทลุง,ท้องถิ่นเทศบาลตำบลชะรัด,ชะรัด,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,7.471108099999999,100.0050042,2,220,location_exact_normalized,1.0,1,ชะรัด(เทศบาล)|2,matched,fallback_unique_subdistrict_key
