district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,candidate_or_party,votes,vote_share
กงหรา2,ชะรัด,1,constituency,election_day,7.477495999999999,100.0135447,ศาลาประจำหมู่บ้านบ้านวังปริง,419,393,17,9,นิติศักดิ์ ธรรมเพชร,118,0.30025445292620867
กงหรา2,ชะรัด,2,constituency,election_day,7.471108099999999,100.0050042,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,655,619,26,10,นิติศักดิ์ ธรรมเพชร,232,0.37479806138933763
กงหรา2,ชะรัด,3,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านท่ายาง,331,313,4,14,นิติศักดิ์ ธรรมเพชร,190,0.6070287539936102
กงหรา2,ชะรัด,4,constituency,election_day,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,399,383,12,4,นิติศักดิ์ ธรรมเพชร,204,0.5326370757180157
กงหรา2,ชะรัด,5,constituency,election_day,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,429,411,14,4,นิติศักดิ์ ธรรมเพชร,201,0.48905109489051096
กงหรา2,ชะรัด,6,constituency,election_day,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,277,264,7,6,นิติศักดิ์ ธรรมเพชร,73,0.2765151515151515
กงหรา2,ชะรัด,7,constituency,election_day,7.470731900000001,99.9856344,ศูนย์ถ่ายทอดเทคโนโลยีตำบลชะรัด,617,590,14,13,นิติศักดิ์ ธรรมเพชร,211,0.3576271186440678
กงหรา2,ชะรัด,8,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านหูเล่,383,341,15,27,นิติศักดิ์ ธรรมเพชร,139,0.40762463343108507
กงหรา2,ชะรัด,9,constituency,election_day,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านสะพานแต้ว,517,490,18,9,นิติศักดิ์ ธรรมเพชร,208,0.42448979591836733
ศรีนครินทร์,ชุมพล,0,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมพล,645,610,13,22,นิติศักดิ์ ธรรมเพชร,343,0.5622950819672131
