district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status
ควนขนุน,ควนขนุน,8,constituency,election_day,80,77,0,3,8,0,9,47,11,2,0,4.0,389.0,ควนขนุน,ควนขนุน,9.0,9,ศาลาประจ าหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,104.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,7.735698699999999,100.0077949,2.0,16.0,location_exact_normalized,1.0,1.0,ควนขนุน|8,matched
ควนขนุน,ชะมวง,0,constituency,election_day,573,552,10,11,122,5,46,340,38,1,0,2.0,310.0,ควนขนุน,ชะมวง,1.0,1,ศาลาประจ าหมู่บ้านบ้านชะมวง,715.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านชะมวง,7.3838149,100.2598974,2.0,114.0,location_exact_normalized,1.0,1.0,ชะมวง|0,matched
ควนขนุน,ชะมวง,1,constituency,election_day,194,182,5,7,56,2,19,96,9,0,0,2.0,311.0,ควนขนุน,ชะมวง,2.0,2|4,ศาลาการเปรียญวัดพิกุลทอง,257.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาการเปรียญวัดพิกุลทอง,7.7408104,99.9839132,2.0,115.0,location_exact_normalized,1.0,1.0,ชะมวง|1,matched
ควนขนุน,ชะมวง,2,constituency,election_day,545,525,14,6,115,0,62,320,25,1,2,2.0,312.0,ควนขนุน,ชะมวง,3.0,3,ศาลาประจ าหมู่บ้านบ้านศาลาต าเสา,646.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,7.7885424,99.9643809,2.0,116.0,location_exact_normalized,1.0,1.0,ชะมวง|2,matched
ควนขนุน,ชะมวง,3,constituency,election_day,185,181,2,2,47,1,5,122,6,0,0,2.0,313.0,ควนขนุน,ชะมวง,4.0,5,ศาลาประจ าหมู่บ้านบ้านหนักขัน,226.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหนักขัน,7.7419453,99.9723573,2.0,117.0,location_exact_normalized,1.0,1.0,ชะมวง|3,matched
ควนขนุน,ชะมวง,4,constituency,election_day,511,501,3,7,109,7,25,348,11,1,0,2.0,314.0,ควนขนุน,ชะมวง,5.0,6,ศาลาประจ าหมู่บ้านบ้านไสเตียน,605.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสเตียน,7.753196000000001,99.9551971,2.0,118.0,location_exact_normalized,1.0,1.0,ชะมวง|4,matched
ควนขนุน,ชะมวง,5,constituency,election_day,326,315,6,5,43,1,10,248,12,0,1,2.0,315.0,ควนขนุน,ชะมวง,6.0,7,ศาลาประจ าหมู่บ้านบ้านค่ายไพออก,387.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,7.3838149,100.2598974,2.0,119.0,location_exact_normalized,1.0,1.0,ชะมวง|5,matched
ควนขนุน,ชะมวง,6,constituency,election_day,394,387,4,3,50,5,5,315,12,0,0,2.0,316.0,ควนขนุน,ชะมวง,7.0,8,ศาลาประจ าหมู่บ้านบ้านค่ายไพตก,448.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,7.3838149,100.2598974,2.0,120.0,location_exact_normalized,1.0,1.0,ชะมวง|6,matched
ควนขนุน,ชะมวง,7,constituency,election_day,360,347,8,5,30,3,23,248,41,2,0,2.0,317.0,ควนขนุน,ชะมวง,8.0,9,ศาลาประจ าหมู่บ้านบ้านไทรโกบ,468.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไทรโกบ,7.7372374,99.973056,2.0,121.0,location_exact_normalized,1.0,1.0,ชะมวง|7,matched
ควนขนุน,ชะมวง,8,constituency,election_day,328,315,6,7,49,1,36,197,28,0,4,2.0,318.0,ควนขนุน,ชะมวง,9.0,10,ศาลาประจ าหมู่บ้านบ้านหัวถนน,420.0,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหัวถนน,7.736974900000001,99.9842367,2.0,122.0,location_exact_normalized,1.0,1.0,ชะมวง|8,matched
