source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,อธิคม ขุนแก้ว,ภพเอกอัคร อินทรโม,สมเสริม ชูรักษ์,นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,2,FAIL,OK,,536.0,511.0,18.0,5.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,183.0,33.0,1.0,2.0,35.0,1.0,25.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,3,FAIL,MISMATCH,single_party_dominance: วรท เทอดวีระพงศ์,2.0,214.0,3.0,5.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,372.0,5.0,0.0,0.0,16.0,9.0,152.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,4,FAIL,MISMATCH,,,,,,,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,,,,,,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,5,FAIL,OK,score_outlier: อธิคม ขุนแก้ว,2.0,568.0,20.0,3.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,195.0,30.0,3.0,8.0,74.0,2.0,261.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,6,FAIL,MISMATCH,,59300.0,581.0,15.0,2.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,257.0,15.0,2.0,1.0,34.0,0.0,278.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,7,FAIL,MISMATCH,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: อธิคม ขุนแก้ว,26.0,25.0,11.0,1.0,ballot_total: '๒๖' → 26 (thai digit); ballot_valid: '๒๕' → 25 (thai digit); ballot_invalid: '๑๑' → 11 (thai digit); ballot_no_vote: '๑' → 1 (thai digit); scores['วรท เทอดวีระพงศ์']: '๑๘๒' → 182 (thai digit); scores['ศุภกร ขุนชิต']: '๑๗' → 17 (thai digit); scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง']: '๐' → 0 (thai digit); scores['อธิคม ขุนแก้ว']: '๙' → 9 (thai digit); scores['ภพเอกอัคร อินทรโม']: '๕๕' → 55 (thai digit); scores['สมเสริม ชูรักษ์']: '๒' → 2 (thai digit); scores['นิติศักดิ์ ธรรมเพชร']: '๒๘' → 28 (thai digit),ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,182.0,17.0,0.0,9.0,55.0,2.0,28.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,8,FAIL,MISMATCH,,2.0,225.0,7.0,1.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,105.0,9.0,0.0,1.0,10.0,0.0,100.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,0,PASS,OK,,450.0,439.0,7.0,4.0,,,240.0,19.0,0.0,0.0,21.0,0.0,159.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,1,FAIL,MISMATCH,,2.0,363.0,7.0,9.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,199.0,27.0,0.0,1.0,47.0,0.0,89.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,2,FAIL,MISMATCH,,,,,,,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,,,,,,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,3,FAIL,OK,,2.0,536.0,1.0,7.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,396.0,15.0,2.0,1.0,31.0,1.0,84.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,4,FAIL,MISMATCH,,2.0,290.0,8.0,2.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,132.0,12.0,0.0,0.0,18.0,0.0,128.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,5,FAIL,MISMATCH,,223.0,214.0,8.0,1.0,,scores['อธิคม ขุนแก้ว'] is None; ballot_total differs between forms,122.0,7.0,1.0,,24.0,1.0,59.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,6,FAIL,OK,,2.0,285.0,6.0,8.0,ballot_total: '๒' → 2 (thai digit),ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total,98.0,17.0,0.0,3.0,29.0,0.0,138.0
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,7,PASS,OK,,250.0,242.0,6.0,2.0,,,82.0,10.0,0.0,0.0,20.0,0.0,130.0
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,0,PASS,OK,,619.0,582.0,23.0,14.0,,,250.0,46.0,4.0,1.0,90.0,2.0,189.0
