source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,8,constituency,290.0,277.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,9,constituency,349.0,340.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,10,constituency,2.0,519.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,11,constituency,245.0,233.0,,single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: ศุภกร ขุนชิต; score_outlier: ภพเอกอัคร อินทรโม; score_outlier: นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,12,constituency,204.0,198.0,,score_outlier: สมเสริม ชูรักษ์
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,13,constituency,275.0,260.0,,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,14,constituency,290.0,242.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,0,partylist,316.0,301.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,1,partylist,665.0,631.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,2,partylist,396.0,378.0,,single_party_dominance: ประชาธิปัตย์
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,3,partylist,358.0,322.0,,score_outlier: ไทยพิทักษ์ธรรม; score_outlier: ไทยรวมไทย
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,4,partylist,,,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,5,partylist,374.0,347.0,,score_outlier: เครือข่ายชาวนาแห่งประเทศไทย
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,6,partylist,427.0,404.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,7,partylist,197.0,187.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,0,partylist,593.0,562.0,,single_party_dominance: ประชาธิปัตย์; score_outlier: ประชาธิปัตย์; score_outlier: ประชากรไทย
