pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
2,308,10,ควนขนุน,โตนดด้วน,10,ศาลาประจ าหมู่บ้านบ้านตีนคลอง,325
2,309,11,ควนขนุน,โตนดด้วน,11,ศาลาประจ าหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,454
2,310,1,ควนขนุน,ชะมวง,1,ศาลาประจ าหมู่บ้านบ้านชะมวง,715
2,311,2,ควนขนุน,ชะมวง,2|4,ศาลาการเปรียญวัดพิกุลทอง,257
2,312,3,ควนขนุน,ชะมวง,3,ศาลาประจ าหมู่บ้านบ้านศาลาต าเสา,646
2,313,4,ควนขนุน,ชะมวง,5,ศาลาประจ าหมู่บ้านบ้านหนักขัน,226
2,314,5,ควนขนุน,ชะมวง,6,ศาลาประจ าหมู่บ้านบ้านไสเตียน,605
2,315,6,ควนขนุน,ชะมวง,7,ศาลาประจ าหมู่บ้านบ้านค่ายไพออก,387
2,316,7,ควนขนุน,ชะมวง,8,ศาลาประจ าหมู่บ้านบ้านค่ายไพตก,448
2,317,8,ควนขนุน,ชะมวง,9,ศาลาประจ าหมู่บ้านบ้านไทรโกบ,468
2,318,9,ควนขนุน,ชะมวง,10,ศาลาประจ าหมู่บ้านบ้านหัวถนน,420
2,319,10,ควนขนุน,ชะมวง,11,ศาลาประจ าหมู่บ้านบ้านปาบ,257
2,320,11,ควนขนุน,ชะมวง,12,ศาลาประจ าหมู่บ้านบ้านสามหนอง,539
2,321,12,ควนขนุน,ชะมวง,13,ศาลาประจ าหมู่บ้านบ้านศาลาม่วง,336
2,322,13,ควนขนุน,ชะมวง,14,ศาลาประจ าหมู่บ้านบ้านไสตอ,552
3,323,14,ควนขนุน,ชะมวง,15,ศาลาประจ าหมู่บ้านบ้านหยีใน,668
3,324,15,ควนขนุน,ชะมวง,16,ศาลาประจ าหมู่บ้านบ้านไสตอตก,425
3,325,1,ควนขนุน,ดอนทราย,1,ศาลาประจ าหมู่บ้านบ้านเขากอย,254
3,326,2,ควนขนุน,ดอนทราย,2,ศาลาประจ าหมู่บ้านบ้านหม้อ,437
3,327,3,ควนขนุน,ดอนทราย,3,ศาลาประจ าหมู่บ้านบ้านเขาวัง,356
3,328,4,ควนขนุน,ดอนทราย,4,ศาลาประจ าหมู่บ้านบ้านล ารุณ,303
3,329,5,ควนขนุน,ดอนทราย,5,ศาลาประจ าหมู่บ้านบ้านควนเหลง,568
3,330,6,ควนขนุน,ดอนทราย,6,ศาลาประจ าหมู่บ้านบ้านเกาะทอง,345
3,331,7,ควนขนุน,ดอนทราย,7,ศาลาประจ าหมู่บ้านบ้านควนดินแดง,668
3,332,8,ควนขนุน,ดอนทราย,8,ศาลาประจ าหมู่บ้านบ้านจันนา,319
3,333,9,ควนขนุน,ดอนทราย,9,ศาลาประจ าหมู่บ้านบ้านไสอ้อย,698
3,334,10,ควนขนุน,ดอนทราย,10,ศาลาประจ าหมู่บ้านบ้านไสโพธิ์,463
3,335,11,ควนขนุน,ดอนทราย,11,ศาลาประจ าหมู่บ้านบ้านจันนาตก,325
3,336,1,ควนขนุน,นาขยาด,1,ศาลาประจ าหมู่บ้านบ้านศาลาต้นรักษ์,821
3,337,2,ควนขนุน,นาขยาด,2,ศาลาประจ าหมู่บ้านบ้านพังดาน,812
3,338,3,ควนขนุน,นาขยาด,3,ศาลาประจ าหมู่บ้านบ้านเกาะยาง,404
3,339,4,ควนขนุน,นาขยาด,4,ศาลาประจ าหมู่บ้านบ้านหนองในวัง,505
3,340,5,ควนขนุน,นาขยาด,5,ศาลาประจ าหมู่บ้านบ้านนาท่อม,575
3,341,6,ควนขนุน,นาขยาด,6,ศาลาประจ าหมู่บ้านบ้านขันหมู่,796
3,342,7,ควนขนุน,นาขยาด,7,ศาลาประจ าหมู่บ้านบ้านสะพานข่อย,469
3,343,8,ควนขนุน,นาขยาด,8,ศาลาประจ าหมู่บ้านบ้านโงกน ้า,476
3,344,9,ควนขนุน,นาขยาด,9,ศาลาประจ าหมู่บ้านบ้านทุ่งส าโรง,495
3,345,10,ควนขนุน,นาขยาด,10,ศาลาประจ าหมู่บ้านบ้านโรงรม,448
3,346,11,ควนขนุน,นาขยาด,11,ศาลาประจ าหมู่บ้านบ้านไสควายฟัน,474
