pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
7,494,2,ศรีนครินทร์,ชุมพล(เทศบาล),2,ศาลาประจ าหมู่บ้านบ้านหนองปริง,432
7,495,3,ศรีนครินทร์,ชุมพล(เทศบาล),3,ศาลาประจ าหมู่บ้านบ้านหนองเสม็ด,434
7,496,4,ศรีนครินทร์,ชุมพล(เทศบาล),3,ศาลาการเปรียญวัดล ากะ,816
7,497,5,ศรีนครินทร์,ชุมพล(เทศบาล),4,ศาลาประจ าหมู่บ้านบ้านห้วยไทร,459
8,498,6,ศรีนครินทร์,ชุมพล(เทศบาล),5,ศาลาประจ าหมู่บ้านบ้านหนองหาญ (หนองโหล๊ะ),617
8,499,7,ศรีนครินทร์,ชุมพล(เทศบาล),6,ศาลาอเนกประสงค์บ้านทุ่งยวน,319
8,500,8,ศรีนครินทร์,ชุมพล(เทศบาล),7,ศาลาประจ าหมู่บ้านบ้านควนดินสอ,804
8,501,9,ศรีนครินทร์,ชุมพล(เทศบาล),8,ศาลาอเนกประสงค์บ้านสวนโหนด,346
8,502,10,ศรีนครินทร์,ชุมพล(เทศบาล),9,ศาลาประจ าหมู่บ้านบ้านหนองหว้า,401
8,503,11,ศรีนครินทร์,ชุมพล(เทศบาล),10,ศาลาประจ าหมู่บ้านบ้านล ากะ,650
8,504,12,ศรีนครินทร์,ชุมพล(เทศบาล),11,ศาลาประจ าหมู่บ้านบ้านต้นธง,297
8,505,13,ศรีนครินทร์,ชุมพล(เทศบาล),12,ศาลาประจ าหมู่บ้านบ้านนารา,300
8,506,14,ศรีนครินทร์,ชุมพล(เทศบาล),13,ศาลาประจ าหมู่บ้านบ้านหนองโหรง,335
8,507,15,ศรีนครินทร์,ชุมพล(เทศบาล),14,ศาลาประจ าหมู่บ้านบ้านชุมทอง,287
8,508,1,กงหรา,สมหวัง,1,ศาลาประจ าหมู่บ้านบ้านคลองล า,386
8,509,2,กงหรา,สมหวัง,2,ศาลาประชาร่วมใจ (ช่องเตย),778
8,510,3,กงหรา,สมหวัง,3,ศาลาประจ าหมู่บ้านบ้านสมหวังตก,508
8,511,4,กงหรา,สมหวัง,4,โรงเรียนวัดหวัง,478
8,512,5,กงหรา,สมหวัง,4,ศาลาการเปรียญวัดสมหวัง,483
8,513,6,กงหรา,สมหวัง,5,ศาลาประจ าหมู่บ้านบ้านไสคุณเปลือย,464
8,514,7,กงหรา,สมหวัง,6,ศาลาประจ าหมู่บ้านบ้านพรุนาแด้,526
8,515,8,กงหรา,สมหวัง,7,ศาลาประจ าหมู่บ้านบ้านทุ่งเลียบ,234
8,516,1,กงหรา,ชะรัด(เทศบาล),1,ศาลาประจ าหมู่บ้านบ้านต้นประดู่,702
8,517,2,กงหรา,ชะรัด(เทศบาล),2,ศาลาประจ าหมู่บ้านบ้านวังปริง,515
8,518,3,กงหรา,ชะรัด(เทศบาล),3,ศาลาประจ าหมู่บ้านบ้านหัวหรั่ง,752
8,519,4,กงหรา,ชะรัด(เทศบาล),4,ศาลาประจ าหมู่บ้านบ้านท่ายาง,432
8,520,5,กงหรา,ชะรัด(เทศบาล),5,อาคารส านักงานเทศบาลต าบลชะรัด,534
8,521,6,กงหรา,ชะรัด(เทศบาล),5,อาคารส านักงานเทศบาลต าบลชะรัด,539
8,522,7,กงหรา,ชะรัด(เทศบาล),6,ศาลาอเนกประสงค์บ้านนามะพร้าว,385
8,523,8,กงหรา,ชะรัด(เทศบาล),7,ศูนย์ถ่ายทอดเทคโนโลยีต าบลชะรัด,717
8,524,9,กงหรา,ชะรัด(เทศบาล),8,ศาลาประจ าหมู่บ้านบ้านหูเล่,456
8,525,10,กงหรา,ชะรัด(เทศบาล),9,ศาลาประจ าหมู่บ้านบ้านสะพานแต้ว,609
