province,registrar,subdistrict,electorate,location,latitude,longitude,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,pdf_sequence,pdf_page,unit_match_method,unit_match_score,unit_match_note
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านโคกศักดิ์,7.814868300000001,100.1479182,ควนขนุน,ทะเลน้อย,6,5,6,ศาลาประจ าหมู่บ้านบ้านโคกศักดิ์,380,267,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,7.876837900000001,100.0242995,ควนขนุน,ทะเลน้อย,7,6,7,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,443,268,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านโคกเมา,7.814868300000001,100.1479182,ควนขนุน,ทะเลน้อย,8,7,8,ศาลาประจ าหมู่บ้านบ้านโคกเมา,557,269,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านบนตก,7.3838149,100.2598974,ควนขนุน,ทะเลน้อย,9,8,9,ศาลาประจ าหมู่บ้านบ้านบนตก,525,270,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านบนกลาง,7.3838149,100.2598974,ควนขนุน,ทะเลน้อย,10,9,10,ศาลาประจ าหมู่บ้านบ้านบนกลาง,502,271,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านศาลาต้นรักษ์,7.679982700000001,99.9576849,ควนขนุน,นาขยาด,1,0,1,ศาลาประจ าหมู่บ้านบ้านศาลาต้นรักษ์,821,336,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านพังดาน,7.670382399999999,99.9823069,ควนขนุน,นาขยาด,2,1,2,ศาลาประจ าหมู่บ้านบ้านพังดาน,812,337,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านเกาะยาง,7.685908899999999,99.9794414,ควนขนุน,นาขยาด,3,2,3,ศาลาประจ าหมู่บ้านบ้านเกาะยาง,404,338,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านหนองในวัง,7.679982700000001,99.9576849,ควนขนุน,นาขยาด,4,3,4,ศาลาประจ าหมู่บ้านบ้านหนองในวัง,505,339,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านนาท่อม,7.591457699999999,100.0019597,ควนขนุน,นาขยาด,5,4,5,ศาลาประจ าหมู่บ้านบ้านนาท่อม,575,340,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านขันหมู่,7.668115999999999,99.955747,ควนขนุน,นาขยาด,6,5,6,ศาลาประจ าหมู่บ้านบ้านขันหมู่,796,341,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านสะพานข่อย,7.6901421,99.9402381,ควนขนุน,นาขยาด,7,6,7,ศาลาประจ าหมู่บ้านบ้านสะพานข่อย,469,342,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านโงกน้ำ,7.707698400000001,99.9269198,ควนขนุน,นาขยาด,8,7,8,ศาลาประจ าหมู่บ้านบ้านโงกน ้า,476,343,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านทุ่งสำโรง,7.679982700000001,99.9576849,ควนขนุน,นาขยาด,9,8,9,ศาลาประจ าหมู่บ้านบ้านทุ่งส าโรง,495,344,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านโรงรม,7.679982700000001,99.9576849,ควนขนุน,นาขยาด,10,9,10,ศาลาประจ าหมู่บ้านบ้านโรงรม,448,345,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านไสควายฟัน,7.679982700000001,99.9576849,ควนขนุน,นาขยาด,11,10,11,ศาลาประจ าหมู่บ้านบ้านไสควายฟัน,474,346,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านเขาวังทอง,7.679982700000001,99.9576849,ควนขนุน,นาขยาด,12,11,12,ศาลาประจ าหมู่บ้านบ้านเขาวังทอง,522,347,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาอเนกประสงค์บ้านเขานม (อบต.หลังเก่า),7.6738819,100.0809748,ควนขนุน,พนมวังก์,1,0,1,ศาลาอเนกประสงค์บ้านเขานม (อบต.หลังเก่า),455,348,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านระหว่างควน,7.6920875,100.0469114,ควนขนุน,พนมวังก์,2,1,2,ศาลาประจ าหมู่บ้านบ้านระหว่างควน,821,349,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านควนปริง,7.681553500000001,100.0052044,ควนขนุน,พนมวังก์,3,2,3,ศาลาประจ าหมู่บ้านบ้านควนปริง,693,350,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,โรงเรียนทุ่งยางเปล,7.653512500000001,100.0357031,ควนขนุน,พนมวังก์,4,3,4,โรงเรียนทุ่งยางเปล,656,351,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านพนมวังก์,7.3838149,100.2598974,ควนขนุน,พนมวังก์,5,4,5,ศาลาประจ าหมู่บ้านบ้านพนมวังก์,485,352,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านทุ่งขึงหนัง,7.6731922,100.0191857,ควนขนุน,พนมวังก์,6,5,6,ศาลาประจ าหมู่บ้านบ้านทุ่งขึงหนัง,771,353,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านไสยวน,7.688851199999999,100.0064228,ควนขนุน,พนมวังก์,7,6,7,ศาลาประจ าหมู่บ้านบ้านไสยวน,631,354,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านเกาะอ้ายเฒ่า,7.697101200000001,100.0275755,ควนขนุน,พนมวังก์,8,7,8,ศาลาประจ าหมู่บ้านบ้านเกาะอ้ายเฒ่า,708,355,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านกองเกวียน,7.828554299999999,100.0247788,ควนขนุน,แหลมโตนด,1,0,1,ศาลาประจ าหมู่บ้านบ้านกองเกวียน,642,253,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านแหลมโตนด,7.812371,100.049519,ควนขนุน,แหลมโตนด,2,1,2,ศาลาประจ าหมู่บ้านบ้านแหลมโตนด,532,254,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านมาบเนียน,7.838152273124791,100.0744355760674,ควนขนุน,แหลมโตนด,3,2,3,ศาลาประจ าหมู่บ้านบ้านมาบเนียน,397,255,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านเตง(โคกถิน),7.838233,100.0031462,ควนขนุน,แหลมโตนด,4,3,4,ศาลาประจ าหมู่บ้านบ้านเตง (โคกถิน),756,256,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านหนองสามก้อน,7.828554299999999,100.0247788,ควนขนุน,แหลมโตนด,5,4,5,ศาลาประจ าหมู่บ้านบ้านหนองสามก้อน,408,257,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านทุ่งใน,7.828554299999999,100.0247788,ควนขนุน,แหลมโตนด,6,5,6,ศาลาประจ าหมู่บ้านบ้านทุ่งใน,270,258,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านบนลาน,7.3838149,100.2598974,ควนขนุน,แหลมโตนด,7,6,7,ศาลาประจ าหมู่บ้านบ้านบนลาน,428,259,1,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลประจำหมู่บ้านบ้านเสือสะอาด,7.828554299999999,100.0247788,ควนขนุน,แหลมโตนด,8,7,8,ศาลาประจ าหมู่บ้านบ้านเสือสะอาด,325,260,1,location_fuzzy,0.9831,
