source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,partylist,1523.0,4.0,,ballot_total_outlier; single_party_dominance: พลวัต; single_party_dominance: เพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย; single_party_dominance: ประชาชน
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,partylist,144.0,143.0,,score_outlier: แผ่นดินธรรม
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,partylist,524.0,,,score_outlier: รักชาติ; score_outlier: ความหวังใหม่
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,5,partylist,376.0,369.0,,score_outlier: วิชชั่นใหม่
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,6,partylist,614.0,602.0,,score_outlier: มิติใหม่; score_outlier: ทางเลือกไทย; score_outlier: สร้างอนาคตไทย; score_outlier: พร้อม
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,partylist,343.0,336.0,,single_party_dominance: ภูมิใจไทย; score_outlier: ท้องที่ไทย; score_outlier: เพื่อชีวิตใหม่; score_outlier: ภูมิใจไทย
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,partylist,339.0,320.0,,score_outlier: ปวงชนไทย; score_outlier: ไทยพร้อม
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,0,partylist,359.0,345.0,,score_outlier: พลังสังคมใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,1,partylist,494.0,466.0,,score_outlier: เพื่อบ้านเมือง; score_outlier: พลังไทยรักชาติ
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,2,partylist,199.0,,,score_outlier: พลังสังคมใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,partylist,177.0,177.0,,score_outlier: อนาคตไทย; score_outlier: พลังเพื่อไทย; score_outlier: พลังสังคมใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,partylist,453.0,403.0,,score_outlier: เสรีรวมไทย; score_outlier: รวมพลังประชาชน
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,5,partylist,499.0,471.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,partylist,360.0,348.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,partylist,435.0,405.0,,score_outlier: กล้าธรรม; score_outlier: เครือข่ายชาวนาแห่งประเทศไทย; score_outlier: ไทยพิทักษ์ธรรม
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,partylist,270.0,270.0,,score_outlier: ท้องที่ไทย
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,partylist,283.0,271.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,partylist,359.0,348.0,,score_outlier: ครูไทยเพื่อประชาชน
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,partylist,404.0,385.0,,score_outlier: รวมใจไทย
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,partylist,396.0,378.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,partylist,537.0,524.0,,score_outlier: มิติใหม่; score_outlier: แรงงานสร้างชาติ
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,3,partylist,474.0,453.0,,score_outlier: ไทยพร้อม
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,4,partylist,451.0,431.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,partylist,476.0,476.0,,score_outlier: ไทยภักดี; score_outlier: แผ่นดินธรรม
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,6,partylist,552.0,,,score_outlier: ไทยทรัพย์ทวี; score_outlier: ประชาอาสาชาติ; score_outlier: พลังไทยรักชาติ
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,7,partylist,537.0,519.0,,score_outlier: ไทยสร้างไทย
