source_file,unit_index,form_type,status,cross_status,issues,stat_flags
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,ballot_total_outlier; single_party_dominance: พลวัต; single_party_dominance: เพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย; single_party_dominance: ประชาชน
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,partylist,FAIL,MISMATCH,scores['ไทยทรัพย์ทวี'] is None; scores['เพื่อชาติไทย'] is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['รวมไทยสร้างชาติ'] is None; scores['พลวัต'] is None; scores['เศรษฐกิจ'] is None; scores['เสรีรวมไทย'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['ไทยก้าวหน้า'] is None; scores['ไทยภักดี'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['ประชาชาติ'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: แผ่นดินธรรม
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,partylist,FAIL,MISMATCH,ballot_valid is None; ballot_invalid is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['คลองไทย'] is None; scores['ไทยก้าวหน้า'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ประชาชาติ'] is None; scores['สร้างอนาคตไทย'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['เป็นธรรม'] is None; scores['ไทยสร้างไทย'] is None; scores['ประชาอาสาชาติ'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ไทยรวมไทย'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: รักชาติ; score_outlier: ความหวังใหม่
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,5,partylist,FAIL,OK,scores['ไทยทรัพย์ทวี'] is None; scores['ประชาไทย'] is None,score_outlier: วิชชั่นใหม่
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,6,partylist,FAIL,OK,scores['เศรษฐกิจ'] is None,score_outlier: มิติใหม่; score_outlier: ทางเลือกไทย; score_outlier: สร้างอนาคตไทย; score_outlier: พร้อม
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid,single_party_dominance: ภูมิใจไทย; score_outlier: ท้องที่ไทย; score_outlier: เพื่อชีวิตใหม่; score_outlier: ภูมิใจไทย
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid,score_outlier: ปวงชนไทย; score_outlier: ไทยพร้อม
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,0,partylist,FAIL,OK,scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['เศรษฐกิจ'] is None; scores['เสรีรวมไทย'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['เพื่อบ้านเมือง'] is None,score_outlier: พลังสังคมใหม่
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,1,partylist,FAIL,OK,scores['ทางเลือกไทย'] is None,score_outlier: เพื่อบ้านเมือง; score_outlier: พลังไทยรักชาติ
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,2,partylist,FAIL,MISMATCH,sum(scores.values()) does not equal ballot_valid; ballot_valid is None; ballot_total differs between forms,score_outlier: พลังสังคมใหม่
