source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,ไทยทรัพย์ทวี,เพื่อชาติไทย,ใหม่,มิติใหม่,รวมใจไทย,รวมไทยสร้างชาติ,พลวัต,ประชาธิปไดยใหม่,เพื่อไทย,ทางเลือกไทย,เศรษฐกิจ,เสรีรวมไทย,รวมพลังประชาชน,ท้องที่ไทย,อนาคตไทย,พลังเพื่อไทย,ไทยชนะ,พลังสังคมใหม่,สังคมประชาธิปไดยไทย,ฟิวชัน,ไทรวมพลัง,ก้าวอิสระ,ปวงชนไทย,วิชชั่นใหม่,เพื่อชีวิตใหม่,คลองไทย,ประชาธิปัตย์,ไทยก้าวหน้า,ไทยภักดี,แรงงานสร้างชาติ,ประชากรไทย,ครูไทยเพื่อประชาชน,ประชาชาติ,สร้างอนาคตไทย,รักชาติ,ไทยพร้อม,ภูมิใจไทย,พลังธรรมใหม่,กรีน,ไทยธรรม,แผ่นดินธรรม,กล้าธรรม,พลังประชารัฐ,โอกาสใหม่,เป็นธรรม,ประชาชน,ประชาไทย,ไทยสร้างไทย,ไทยก้าวใหม่,ประชาอาสาชาติ,พร้อม,เครือข่ายชาวนาแห่งประเทศไทย,ไทยพิทักษ์ธรรม,ความหวังใหม่,ไทยรวมไทย,เพื่อบ้านเมือง,พลังไทยรักชาติ
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,PASS,OK,score_outlier: อนาคตไทย; score_outlier: พลังเพื่อไทย; score_outlier: พลังสังคมใหม่,298,274,11,13,,,5,5,2,0,1,1,10,1,17,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,153,1,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,1,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,PASS,OK,,253,233,9,11,,,4,1,1,0,3,4,1,1,10,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,153,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,5,PASS,OK,,499,471,18,10,,,4,2,1,0,1,2,9,6,28,0,5,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,249,1,0,1,0,0,0,1,1,1,52,0,1,0,0,2,0,1,0,94,0,1,0,0,0,0,0,0,0,2,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,PASS,OK,,361,348,11,2,,,6,2,1,1,1,3,4,3,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,1,2,1,0,0,0,0,0,1,56,0,0,0,0,0,0,1,0,38,1,0,0,0,0,0,0,0,0,1,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,PASS,OK,score_outlier: เครือข่ายชาวนาแห่งประเทศไทย,435,405,17,13,,,2,2,0,1,0,6,1,1,11,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,261,0,1,1,1,0,0,1,0,0,44,1,0,0,0,3,1,1,0,47,1,1,2,0,0,6,0,0,0,2,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,PASS,OK,score_outlier: ท้องที่ไทย,290,278,2,10,,,1,0,0,0,1,3,5,2,6,0,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,176,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,PASS,OK,score_outlier: โอกาสใหม่,283,271,8,4,,,3,1,1,1,2,1,2,7,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,5,0,31,0,0,0,0,0,0,0,0,0,1,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,PASS,OK,,357,348,5,4,,,3,3,0,0,2,7,4,4,19,0,9,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,171,0,1,0,0,0,2,0,0,1,63,1,0,0,0,1,0,0,1,49,0,0,0,0,0,1,0,0,0,0,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,PASS,OK,score_outlier: รวมใจไทย,404,385,15,4,,,6,3,2,0,4,3,0,3,19,3,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,192,0,0,0,1,0,1,0,0,0,65,1,0,0,0,2,0,0,1,65,0,1,1,0,0,0,0,0,0,2,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,PASS,OK,,396,378,13,5,,,10,3,0,0,0,4,5,4,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,235,0,4,0,0,0,0,0,0,0,55,0,0,0,0,1,0,1,0,40,1,0,1,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,PASS,OK,score_outlier: มิติใหม่; score_outlier: กรีน,537,524,9,4,,,7,2,1,2,2,6,3,5,6,3,8,0,3,0,0,0,0,0,0,1,0,0,0,0,1,2,362,0,1,0,0,0,0,1,0,1,42,1,2,0,0,1,1,0,0,58,2,0,0,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,3,PASS,OK,score_outlier: ครูไทยเพื่อประชาชน; score_outlier: สร้างอนาคตไทย; score_outlier: ไทยพร้อม,474,453,17,4,,,3,0,0,0,2,4,5,8,24,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,276,1,3,0,1,1,1,2,1,2,50,0,0,0,0,2,0,0,0,53,1,1,0,0,0,0,0,0,0,1,0
